k,isim,isim10,isim100,eps,l1
1,0.4992933762,0.7960654762,0.5289503915,0.9855052653,0.0039472545
10.3201390399,0.2702400481,0.6546865079,0.4068923621,1.0227442963,0.0028186422
19.6402780798,0.2007494865,0.5161904762,0.3346076526,0.8729040784,0.0020290009
28.9604171198,0.189695278,0.5536785714,0.3571193078,0.5858828544,0.0013751544
38.2805561597,0.1697471638,0.4973650794,0.3066704121,0.3623636045,0.000912244
47.6006951996,0.1510148677,0.4539563492,0.2910472225,0.2498896425,0.0006796028
56.9208342395,0.1632210801,0.5356984127,0.3163370267,0.1247036096,0.000418214
66.2409732794,0.1451531841,0.4102103175,0.2695492315,0.0738728142,0.0003073656
75.5611123194,0.1653996063,0.4733531746,0.2963717162,0.0487703346,0.0002491645
84.8812513593,0.1524804108,0.4390992063,0.2525253647,0.0402030867,0.0002245249
